device:  cpu
iter: 1190 loss: 0.6756362915039062, accy: 0.78
iter: 1200 loss: 1.1469388008117676, accy: 0.64
iter: 1210 loss: 0.7790801525115967, accy: 0.76
iter: 1220 loss: 0.5553772449493408, accy: 0.84
iter: 1230 loss: 1.0242313146591187, accy: 0.58
iter: 1240 loss: 0.6933353543281555, accy: 0.8
iter: 1250 loss: 0.6811436414718628, accy: 0.76
iter: 1260 loss: 0.7320546507835388, accy: 0.76
iter: 1270 loss: 0.6470500230789185, accy: 0.8
iter: 1280 loss: 0.5158494114875793, accy: 0.84
iter: 1290 loss: 0.7281550765037537, accy: 0.78
iter: 1300 loss: 0.8235121369361877, accy: 0.76
iter: 1310 loss: 0.5871574282646179, accy: 0.82
iter: 1320 loss: 0.7979837656021118, accy: 0.74
iter: 1330 loss: 0.7597893476486206, accy: 0.76
iter: 1340 loss: 0.6712143421173096, accy: 0.82
iter: 1350 loss: 0.8725666999816895, accy: 0.7
iter: 1360 loss: 0.7581577897071838, accy: 0.8
iter: 1370 loss: 0.8200076222419739, accy: 0.78
iter: 1380 loss: 0.7498188614845276, accy: 0.7
iter: 1390 loss: 0.9356014132499695, accy: 0.72
iter: 1400 loss: 0.820321798324585, accy: 0.7
iter: 1410 loss: 0.5463287234306335, accy: 0.82
iter: 1420 loss: 0.7811402678489685, accy: 0.78
iter: 1430 loss: 0.6342481970787048, accy: 0.8
iter: 1440 loss: 0.8634805083274841, accy: 0.76
iter: 1450 loss: 0.792752742767334, accy: 0.72
iter: 1460 loss: 1.0652886629104614, accy: 0.66
iter: 1470 loss: 0.7614638805389404, accy: 0.78
iter: 1480 loss: 0.7044623494148254, accy: 0.76
iter: 1490 loss: 0.5498669147491455, accy: 0.84
iter: 1500 loss: 0.5758445858955383, accy: 0.82
iter: 1510 loss: 0.7470071911811829, accy: 0.74
iter: 1520 loss: 0.6971182227134705, accy: 0.78
iter: 1530 loss: 0.5746387839317322, accy: 0.8
iter: 1540 loss: 0.5621860027313232, accy: 0.86
iter: 1550 loss: 0.8316552639007568, accy: 0.76
iter: 1560 loss: 0.8303253054618835, accy: 0.72
iter: 1570 loss: 0.5669622421264648, accy: 0.8
iter: 1580 loss: 0.7908647060394287, accy: 0.76
iter: 1590 loss: 0.7447604537010193, accy: 0.78
iter: 1600 loss: 0.6026304364204407, accy: 0.86
iter: 1610 loss: 0.4863511323928833, accy: 0.82
iter: 1620 loss: 0.6015267372131348, accy: 0.82
iter: 1630 loss: 0.38497111201286316, accy: 0.94
iter: 1640 loss: 0.6714677214622498, accy: 0.74
iter: 1650 loss: 0.8806492686271667, accy: 0.72
iter: 1660 loss: 0.8364322781562805, accy: 0.74
iter: 1670 loss: 0.702207088470459, accy: 0.84
iter: 1680 loss: 0.8693894147872925, accy: 0.66
iter: 1690 loss: 0.5772643089294434, accy: 0.82
iter: 1700 loss: 0.5388841032981873, accy: 0.84
iter: 1710 loss: 0.655569314956665, accy: 0.82
iter: 1720 loss: 0.6226089000701904, accy: 0.78
iter: 1730 loss: 0.5204175710678101, accy: 0.84
iter: 1740 loss: 0.7655118703842163, accy: 0.72
iter: 1750 loss: 0.602282702922821, accy: 0.78
iter: 1760 loss: 0.6223002076148987, accy: 0.8
iter: 1770 loss: 0.6147496700286865, accy: 0.78
iter: 1780 loss: 0.5727894306182861, accy: 0.82
iter: 1790 loss: 0.5455485582351685, accy: 0.78
iter: 1800 loss: 0.6672180891036987, accy: 0.74
iter: 1810 loss: 0.5377435684204102, accy: 0.8
iter: 1820 loss: 0.7027946710586548, accy: 0.76
iter: 1830 loss: 0.636259138584137, accy: 0.78
iter: 1840 loss: 0.6824085116386414, accy: 0.78
iter: 1850 loss: 0.692492663860321, accy: 0.82
iter: 1860 loss: 0.6246339678764343, accy: 0.76
iter: 1870 loss: 0.6706278324127197, accy: 0.84
iter: 1880 loss: 0.5126760005950928, accy: 0.9
iter: 1890 loss: 0.598868191242218, accy: 0.88
iter: 1900 loss: 0.7259284257888794, accy: 0.76
iter: 1910 loss: 0.6659693717956543, accy: 0.8
iter: 1920 loss: 0.5686029195785522, accy: 0.82
iter: 1930 loss: 0.94599449634552, accy: 0.58
iter: 1940 loss: 0.7539212703704834, accy: 0.74
iter: 1950 loss: 0.8207505941390991, accy: 0.8
iter: 1960 loss: 0.7824169993400574, accy: 0.68
iter: 1970 loss: 0.7710233330726624, accy: 0.74
iter: 1980 loss: 0.3556378185749054, accy: 0.86
iter: 1990 loss: 0.591331422328949, accy: 0.8
iter: 2000 loss: 0.6273403167724609, accy: 0.82
iter: 2010 loss: 1.0078513622283936, accy: 0.62
iter: 2020 loss: 0.6975224018096924, accy: 0.8
iter: 2030 loss: 0.4746910333633423, accy: 0.86
iter: 2040 loss: 0.795828640460968, accy: 0.78
iter: 2050 loss: 0.43779456615448, accy: 0.88
iter: 2060 loss: 0.7523027062416077, accy: 0.8
iter: 2070 loss: 0.6801242232322693, accy: 0.78
iter: 2080 loss: 0.6026981472969055, accy: 0.86
iter: 2090 loss: 0.8084722757339478, accy: 0.68
iter: 2100 loss: 0.6709256172180176, accy: 0.84
iter: 2110 loss: 0.7306116223335266, accy: 0.8
iter: 2120 loss: 0.6597462296485901, accy: 0.8
iter: 2130 loss: 0.4700029790401459, accy: 0.84
iter: 2140 loss: 0.4652697741985321, accy: 0.9
iter: 2150 loss: 0.7564157843589783, accy: 0.76
iter: 2160 loss: 0.702095091342926, accy: 0.76
iter: 2170 loss: 0.5934136509895325, accy: 0.8
iter: 2180 loss: 1.053477168083191, accy: 0.72
iter: 2190 loss: 0.5679872035980225, accy: 0.8
iter: 2200 loss: 0.7374036908149719, accy: 0.78
iter: 2210 loss: 0.6346889734268188, accy: 0.8
iter: 2220 loss: 0.8504360914230347, accy: 0.72
iter: 2230 loss: 0.6462669968605042, accy: 0.8
iter: 2240 loss: 0.6418778300285339, accy: 0.76
iter: 2250 loss: 0.5128129720687866, accy: 0.8
iter: 2260 loss: 0.7321165204048157, accy: 0.72
iter: 2270 loss: 0.5744128227233887, accy: 0.88
iter: 2280 loss: 0.44696319103240967, accy: 0.86
iter: 2290 loss: 0.5735320448875427, accy: 0.78
iter: 2300 loss: 0.47553664445877075, accy: 0.84
iter: 2310 loss: 0.4997868835926056, accy: 0.8
iter: 2320 loss: 0.6264398694038391, accy: 0.76
iter: 2330 loss: 0.6332539916038513, accy: 0.84
iter: 2340 loss: 0.7288027405738831, accy: 0.74
iter: 2350 loss: 0.6364622712135315, accy: 0.84
iter: 2360 loss: 0.6922376751899719, accy: 0.82
iter: 2370 loss: 0.6613831520080566, accy: 0.8
iter: 2380 loss: 0.4648551940917969, accy: 0.82
iter: 2390 loss: 0.8094536066055298, accy: 0.72
iter: 2400 loss: 0.9051434397697449, accy: 0.72
iter: 2410 loss: 0.6161913871765137, accy: 0.76
iter: 2420 loss: 0.5295729637145996, accy: 0.8
iter: 2430 loss: 0.6971710324287415, accy: 0.74
iter: 2440 loss: 0.903138279914856, accy: 0.66
iter: 2450 loss: 0.8615753054618835, accy: 0.7
iter: 2460 loss: 0.5199291110038757, accy: 0.84
iter: 2470 loss: 0.7810540795326233, accy: 0.78
iter: 2480 loss: 0.8476480841636658, accy: 0.78
iter: 2490 loss: 0.48683708906173706, accy: 0.84
iter: 2500 loss: 0.5770699977874756, accy: 0.76
iter: 2510 loss: 0.4404313564300537, accy: 0.84
iter: 2520 loss: 0.3983842730522156, accy: 0.9
iter: 2530 loss: 0.8569738864898682, accy: 0.74
iter: 2540 loss: 0.8936124444007874, accy: 0.76
iter: 2550 loss: 0.7330701351165771, accy: 0.72
iter: 2560 loss: 0.6044700145721436, accy: 0.76
iter: 2570 loss: 0.9121783971786499, accy: 0.68
iter: 2580 loss: 0.4837774336338043, accy: 0.82
iter: 2590 loss: 0.6408879160881042, accy: 0.76
iter: 2600 loss: 0.6859878301620483, accy: 0.8
iter: 2610 loss: 0.3732854127883911, accy: 0.86
iter: 2620 loss: 0.44918277859687805, accy: 0.86
iter: 2630 loss: 0.7651532888412476, accy: 0.66
iter: 2640 loss: 0.546810507774353, accy: 0.82
iter: 2650 loss: 0.9195677042007446, accy: 0.72
iter: 2660 loss: 0.750169575214386, accy: 0.72
iter: 2670 loss: 0.6485224962234497, accy: 0.76
iter: 2680 loss: 0.5771428942680359, accy: 0.86
iter: 2690 loss: 0.7600102424621582, accy: 0.74
iter: 2700 loss: 0.48414546251296997, accy: 0.84
iter: 2710 loss: 0.646847665309906, accy: 0.76
iter: 2720 loss: 0.5932152271270752, accy: 0.82
iter: 2730 loss: 0.6016098260879517, accy: 0.8
iter: 2740 loss: 0.5387110710144043, accy: 0.78
iter: 2750 loss: 0.7011326551437378, accy: 0.72
iter: 2760 loss: 0.5609773397445679, accy: 0.78
iter: 2770 loss: 0.6382423639297485, accy: 0.78
iter: 2780 loss: 0.6502782702445984, accy: 0.82
iter: 2790 loss: 0.5899177193641663, accy: 0.76
iter: 2800 loss: 0.8353683352470398, accy: 0.76
iter: 2810 loss: 0.9488818645477295, accy: 0.76
iter: 2820 loss: 0.43719252943992615, accy: 0.82
iter: 2830 loss: 0.6018266081809998, accy: 0.8
iter: 2840 loss: 0.5694388151168823, accy: 0.78
iter: 2850 loss: 0.4607214629650116, accy: 0.86
iter: 2860 loss: 0.6796383857727051, accy: 0.76
iter: 2870 loss: 0.8593814373016357, accy: 0.76
iter: 2880 loss: 0.6038107872009277, accy: 0.78
iter: 2890 loss: 0.8276631832122803, accy: 0.68
iter: 2900 loss: 0.6055948734283447, accy: 0.84
iter: 2910 loss: 0.6781324148178101, accy: 0.78
iter: 2920 loss: 0.5860537886619568, accy: 0.8
iter: 2930 loss: 0.4614855945110321, accy: 0.84
iter: 2940 loss: 0.6207034587860107, accy: 0.78
iter: 2950 loss: 0.5854296684265137, accy: 0.82
iter: 2960 loss: 0.5394879579544067, accy: 0.8
iter: 2970 loss: 0.5059571266174316, accy: 0.8
iter: 2980 loss: 0.6324045658111572, accy: 0.74
iter: 2990 loss: 0.3979974389076233, accy: 0.9
iter: 3000 loss: 0.5478639602661133, accy: 0.88
iter: 3010 loss: 0.7049392461776733, accy: 0.82
iter: 3020 loss: 0.45762020349502563, accy: 0.86
iter: 3030 loss: 0.7508123517036438, accy: 0.8
iter: 3040 loss: 0.839322030544281, accy: 0.7
iter: 3050 loss: 0.790516197681427, accy: 0.7
iter: 3060 loss: 0.49058452248573303, accy: 0.88
iter: 3070 loss: 0.6031957864761353, accy: 0.82
iter: 3080 loss: 0.43112656474113464, accy: 0.9
iter: 3090 loss: 0.6742415428161621, accy: 0.82
iter: 3100 loss: 0.647890031337738, accy: 0.82
iter: 3110 loss: 0.4750249981880188, accy: 0.88
iter: 3120 loss: 0.737739086151123, accy: 0.78
iter: 3130 loss: 0.583984375, accy: 0.8
iter: 3140 loss: 0.6581633687019348, accy: 0.8
iter: 3150 loss: 0.6747327446937561, accy: 0.74
iter: 3160 loss: 0.8185223340988159, accy: 0.72
iter: 3170 loss: 0.6667603850364685, accy: 0.82
iter: 3180 loss: 0.5678327679634094, accy: 0.86
iter: 3190 loss: 0.5179970264434814, accy: 0.88
iter: 3200 loss: 0.5237064361572266, accy: 0.84
iter: 3210 loss: 0.44998109340667725, accy: 0.9
iter: 3220 loss: 0.4652889668941498, accy: 0.88
iter: 3230 loss: 0.3839709758758545, accy: 0.84
iter: 3240 loss: 0.5310943126678467, accy: 0.9
iter: 3250 loss: 0.4805864989757538, accy: 0.82
iter: 3260 loss: 0.7348721027374268, accy: 0.68
iter: 3270 loss: 0.6156326532363892, accy: 0.76
iter: 3280 loss: 0.8255367875099182, accy: 0.78
iter: 3290 loss: 0.6791104078292847, accy: 0.74
iter: 3300 loss: 0.5453583598136902, accy: 0.84
iter: 3310 loss: 0.6989906430244446, accy: 0.8
iter: 3320 loss: 0.5205726027488708, accy: 0.8
iter: 3330 loss: 0.48985621333122253, accy: 0.84
iter: 3340 loss: 0.49787530303001404, accy: 0.9
iter: 3350 loss: 0.6378200650215149, accy: 0.86
iter: 3360 loss: 1.0462026596069336, accy: 0.72
iter: 3370 loss: 0.9293310642242432, accy: 0.64
iter: 3380 loss: 0.6698184013366699, accy: 0.76
iter: 3390 loss: 0.7035449743270874, accy: 0.74
iter: 3400 loss: 0.3963662385940552, accy: 0.84
iter: 3410 loss: 0.6168829202651978, accy: 0.8
iter: 3420 loss: 0.5283751487731934, accy: 0.82
iter: 3430 loss: 0.5022928714752197, accy: 0.86
iter: 3440 loss: 0.6778656840324402, accy: 0.78
iter: 3450 loss: 0.4403708577156067, accy: 0.88
iter: 3460 loss: 0.642646849155426, accy: 0.84
iter: 3470 loss: 0.633212149143219, accy: 0.82
iter: 3480 loss: 0.5493243932723999, accy: 0.76
iter: 3490 loss: 0.7205074429512024, accy: 0.8
iter: 3500 loss: 0.4623388648033142, accy: 0.84
iter: 3510 loss: 0.5912243127822876, accy: 0.88
iter: 3520 loss: 0.38365405797958374, accy: 0.88
iter: 3530 loss: 0.510932445526123, accy: 0.84
iter: 3540 loss: 0.5542902946472168, accy: 0.74
iter: 3550 loss: 0.42823466658592224, accy: 0.88
iter: 3560 loss: 0.567257285118103, accy: 0.8
iter: 3570 loss: 0.8941071033477783, accy: 0.64
iter: 3580 loss: 0.6683616638183594, accy: 0.8
iter: 3590 loss: 0.832560122013092, accy: 0.76
iter: 3600 loss: 0.8776348233222961, accy: 0.72
iter: 3610 loss: 0.6555472612380981, accy: 0.84
iter: 3620 loss: 0.5387386679649353, accy: 0.86
iter: 3630 loss: 0.5754368305206299, accy: 0.86
iter: 3640 loss: 0.680867612361908, accy: 0.76
iter: 3650 loss: 0.5670555830001831, accy: 0.86
iter: 3660 loss: 0.633993923664093, accy: 0.74
iter: 3670 loss: 0.6546925902366638, accy: 0.8
iter: 3680 loss: 0.9106109142303467, accy: 0.74
iter: 3690 loss: 0.8180286884307861, accy: 0.8
iter: 3700 loss: 0.3233388662338257, accy: 0.9
iter: 3710 loss: 0.43782714009284973, accy: 0.84
iter: 3720 loss: 0.7134420275688171, accy: 0.8
iter: 3730 loss: 0.3879004418849945, accy: 0.86
iter: 3740 loss: 0.5720832347869873, accy: 0.76
iter: 3750 loss: 0.5485187768936157, accy: 0.84
iter: 3760 loss: 0.3238462507724762, accy: 0.92
iter: 3770 loss: 0.6591660380363464, accy: 0.84
iter: 3780 loss: 0.45096084475517273, accy: 0.86
iter: 3790 loss: 0.7174997925758362, accy: 0.76
iter: 3800 loss: 0.49174338579177856, accy: 0.88
iter: 3810 loss: 0.6557053327560425, accy: 0.8
